Institution Name,Students enrolled exclusively in distance education courses (EF2018A_DIST  Undergraduate total),Students enrolled in some but not all distance education courses (EF2018A_DIST  Undergraduate total),Student not enrolled in any distance education courses (EF2018A_DIST  Undergraduate total),Students enrolled exclusively in distance education courses (EF2018A_DIST  Graduate),Students enrolled in some but not all distance education courses (EF2018A_DIST  Graduate),Student not enrolled in any distance education courses (EF2018A_DIST  Graduate),Students enrolled exclusively in distance education courses (EF2017A_DIST_RV  Undergraduate total),Students enrolled in some but not all distance education courses (EF2017A_DIST_RV  Undergraduate total),Student not enrolled in any distance education courses (EF2017A_DIST_RV  Undergraduate total),Students enrolled exclusively in distance education courses (EF2017A_DIST_RV  Graduate),Students enrolled in some but not all distance education courses (EF2017A_DIST_RV  Graduate),Student not enrolled in any distance education courses (EF2017A_DIST_RV  Graduate),Students enrolled exclusively in distance education courses (EF2016A_DIST_RV  Undergraduate total),Students enrolled in some but not all distance education courses (EF2016A_DIST_RV  Undergraduate total),Student not enrolled in any distance education courses (EF2016A_DIST_RV  Undergraduate total),Students enrolled exclusively in distance education courses (EF2016A_DIST_RV  Graduate),Students enrolled in some but not all distance education courses (EF2016A_DIST_RV  Graduate),Student not enrolled in any distance education courses (EF2016A_DIST_RV  Graduate),Students enrolled exclusively in distance education courses (EF2015A_DIST_RV  Undergraduate total),Students enrolled in some but not all distance education courses (EF2015A_DIST_RV  Undergraduate total),Student not enrolled in any distance education courses (EF2015A_DIST_RV  Undergraduate total),Students enrolled exclusively in distance education courses (EF2015A_DIST_RV  Graduate),Students enrolled in some but not all distance education courses (EF2015A_DIST_RV  Graduate),Student not enrolled in any distance education courses (EF2015A_DIST_RV  Graduate),Students enrolled exclusively in distance education courses (EF2014A_DIST_RV  Undergraduate total),Students enrolled in some but not all distance education courses (EF2014A_DIST_RV  Undergraduate total),Student not enrolled in any distance education courses (EF2014A_DIST_RV  Undergraduate total),Students enrolled exclusively in distance education courses (EF2014A_DIST_RV  Graduate),Students enrolled in some but not all distance education courses (EF2014A_DIST_RV  Graduate),Student not enrolled in any distance education courses (EF2014A_DIST_RV  Graduate),Students enrolled exclusively in distance education courses (EF2013A_DIST_RV  Undergraduate total),Students enrolled in some but not all distance education courses (EF2013A_DIST_RV  Undergraduate total),Student not enrolled in any distance education courses (EF2013A_DIST_RV  Undergraduate total),Students enrolled exclusively in distance education courses (EF2013A_DIST_RV  Graduate),Students enrolled in some but not all distance education courses (EF2013A_DIST_RV  Graduate),Student not enrolled in any distance education courses (EF2013A_DIST_RV  Graduate),Students enrolled exclusively in distance education courses (EF2012A_DIST_RV  Undergraduate total),Students enrolled in some but not all distance education courses (EF2012A_DIST_RV  Undergraduate total),Student not enrolled in any distance education courses (EF2012A_DIST_RV  Undergraduate total),Students enrolled exclusively in distance education courses (EF2012A_DIST_RV  Graduate),Students enrolled in some but not all distance education courses (EF2012A_DIST_RV  Graduate),Student not enrolled in any distance education courses (EF2012A_DIST_RV  Graduate)
Alaska Bible College,0,6,39,NA,NA,NA,2,0,40,NA,NA,NA,0,7,33,NA,NA,NA,0,1,32,NA,NA,NA,0,0,46,NA,NA,NA,0,0,42,NA,NA,NA,NA,NA,58,NA,NA,NA
Alaska Career College,NA,NA,415,NA,NA,NA,NA,NA,430,NA,NA,NA,NA,NA,424,NA,NA,NA,NA,NA,378,NA,NA,NA,NA,NA,479,NA,NA,NA,NA,NA,335,NA,NA,NA,NA,NA,228,NA,NA,NA
Alaska Christian College,NA,NA,81,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,79,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,53,NA,NA,NA,0,0,40,NA,NA,NA
Alaska Pacific University,77,58,166,2,7,192,60,82,154,1,2,210,57,58,183,1,10,232,72,57,159,0,6,228,85,74,167,23,0,230,95,79,213,0,5,277,204,87,148,0,0,218
Albany BOCES-Adult Practical Nursing Program,NA,NA,170,NA,NA,NA,NA,NA,142,NA,NA,NA,NA,NA,132,NA,NA,NA,NA,NA,129,NA,NA,NA,NA,NA,141,NA,NA,NA,NA,NA,136,NA,NA,NA,NA,NA,163,NA,NA,NA
Albany College of Pharmacy and Health Sciences,0,105,754,0,2,470,0,86,804,0,22,472,0,101,801,0,13,493,0,107,897,0,5,473,0,67,1013,0,22,461,0,23,1055,NA,NA,561,NA,NA,1072,NA,NA,629
Albany Law School,NA,NA,NA,17,49,434,NA,NA,NA,9,27,399,NA,NA,NA,0,33,362,NA,NA,NA,NA,NA,414,NA,NA,NA,NA,NA,475,NA,NA,NA,NA,NA,594,NA,NA,NA,0,0,615
Albany Medical College,NA,NA,NA,37,0,791,NA,NA,NA,41,0,799,NA,NA,NA,35,1,786,NA,NA,NA,41,2,779,NA,NA,NA,62,3,758,NA,NA,NA,50,0,780,NA,NA,NA,43,0,797
Albany State University,1084,1827,3090,205,62,103,1247,1904,3111,87,51,215,236,797,1561,153,99,195,225,855,1911,128,137,236,272,816,2228,198,129,267,265,791,2604,225,133,242,253,995,2555,173,95,204
Albany Technical College,1239,910,1032,NA,NA,NA,1052,1079,1036,NA,NA,NA,1059,890,1302,NA,NA,NA,922,1000,1409,NA,NA,NA,971,1238,1431,NA,NA,NA,959,1272,1663,NA,NA,NA,1029,1398,1508,NA,NA,NA
Albertus Magnus College,168,378,570,87,34,219,140,522,466,69,115,152,169,263,788,68,26,241,41,388,768,21,63,234,18,518,720,20,22,252,32,373,873,21,3,280,8,85,1263,24,33,254
Albion College,0,0,1533,NA,NA,NA,0,0,1568,NA,NA,NA,0,76,1342,NA,NA,NA,0,0,1376,NA,NA,NA,0,0,1268,NA,NA,NA,0,0,1307,NA,NA,NA,NA,NA,1382,NA,NA,NA
Albright College,30,29,1853,0,0,22,36,46,1933,1,7,13,16,55,2233,NA,NA,14,5,46,2188,NA,NA,28,NA,NA,2360,NA,NA,33,NA,NA,2349,NA,NA,35,NA,NA,2199,NA,NA,65
Alcorn State University,186,1949,1038,269,127,89,144,1932,1096,286,181,77,126,1519,1180,330,196,69,81,1124,1706,239,219,149,118,1203,1685,240,241,152,147,1236,1774,266,273,152,123,1182,1903,265,297,180
Alderson Broaddus University,2,307,527,7,0,68,8,315,629,4,0,64,2,284,695,NA,NA,71,8,306,771,NA,NA,69,14,0,1024,NA,NA,70,6,0,1046,NA,NA,65,NA,NA,826,NA,NA,44
Alexander Academy,NA,NA,61,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,58,NA,NA,NA,0,0,58,NA,NA,NA,NA,NA,29,NA,NA,NA,0,0,47,NA,NA,NA
Alexander Paul Institute of Hair Design,NA,NA,33,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,42,NA,NA,NA,0,0,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alexandria School of Scientific Therapeutics,NA,NA,23,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,34,NA,NA,NA,0,0,37,NA,NA,NA,0,0,30,NA,NA,NA,0,0,39,NA,NA,NA
Alexandria Technical & Community College,783,385,1446,NA,NA,NA,829,399,1566,NA,NA,NA,727,342,1620,NA,NA,NA,723,339,1640,NA,NA,NA,598,333,1673,NA,NA,NA,546,388,1911,NA,NA,NA,604,368,2020,NA,NA,NA
Alfred University,0,35,1636,0,36,595,0,8,1699,0,46,601,0,51,1764,0,49,526,4,23,1779,2,39,439,5,89,1826,7,20,363,0,0,1960,0,32,439,NA,NA,1935,0,0,427
Alhambra Beauty College,NA,NA,88,NA,NA,NA,NA,NA,121,NA,NA,NA,NA,NA,89,NA,NA,NA,NA,NA,72,NA,NA,NA,0,0,92,NA,NA,NA,0,0,159,NA,NA,NA,0,0,130,NA,NA,NA
Alhambra Medical University,NA,NA,57,NA,NA,88,NA,NA,42,NA,NA,104,NA,NA,42,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alice Lloyd College,NA,NA,644,NA,NA,NA,NA,NA,598,NA,NA,NA,NA,NA,605,NA,NA,NA,NA,NA,616,NA,NA,NA,NA,NA,657,NA,NA,NA,NA,NA,631,NA,NA,NA,NA,NA,608,NA,NA,NA
All Beauty College,NA,NA,16,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
All Beauty College,NA,NA,37,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
All Beauty College,NA,NA,8,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,13,NA,NA,NA,0,0,37,NA,NA,NA,NA,NA,75,NA,NA,NA,0,0,56,NA,NA,NA
All-State Career School-Allied Health Campus,0,3,310,NA,NA,NA,0,24,331,NA,NA,NA,0,20,358,NA,NA,NA,NA,NA,284,NA,NA,NA,NA,NA,322,NA,NA,NA,NA,NA,350,NA,NA,NA,0,0,432,NA,NA,NA
All-State Career School-Lester,NA,NA,316,NA,NA,NA,NA,NA,306,NA,NA,NA,NA,NA,297,NA,NA,NA,NA,NA,330,NA,NA,NA,NA,NA,314,NA,NA,NA,0,0,343,NA,NA,NA,NA,NA,391,NA,NA,NA
All-State Career School-Pittsburgh,NA,NA,264,NA,NA,NA,NA,NA,189,NA,NA,NA,NA,NA,231,NA,NA,NA,NA,NA,281,NA,NA,NA,NA,NA,269,NA,NA,NA,NA,NA,364,NA,NA,NA,NA,NA,358,NA,NA,NA
All-State Career-Baltimore,NA,NA,539,NA,NA,NA,NA,NA,561,NA,NA,NA,NA,NA,558,NA,NA,NA,NA,NA,599,NA,NA,NA,NA,NA,714,NA,NA,NA,NA,NA,1078,NA,NA,NA,NA,NA,1193,NA,NA,NA
Allan Hancock College,1250,2217,7818,NA,NA,NA,1418,1973,8348,NA,NA,NA,1567,1896,8549,NA,NA,NA,1584,1819,7546,NA,NA,NA,1544,1866,7637,NA,NA,NA,1661,1658,7566,NA,NA,NA,1624,1679,7534,NA,NA,NA
Allegany College of Maryland,455,637,1493,NA,NA,NA,578,567,1572,NA,NA,NA,243,641,2046,NA,NA,NA,264,707,2120,NA,NA,NA,227,703,2297,NA,NA,NA,194,707,2290,NA,NA,NA,185,783,2691,NA,NA,NA
Allegheny College,NA,NA,1771,NA,NA,NA,NA,NA,1802,NA,NA,NA,NA,NA,1920,NA,NA,NA,NA,NA,1931,NA,NA,NA,NA,NA,2023,NA,NA,NA,NA,NA,2161,NA,NA,NA,NA,NA,2140,NA,NA,NA
Allegheny Wesleyan College,NA,NA,72,NA,NA,NA,NA,NA,84,NA,NA,NA,NA,NA,79,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,46,NA,NA,NA
Allen College,31,268,43,35,221,64,43,244,42,36,201,56,50,263,47,38,189,33,71,253,46,35,192,14,70,261,48,26,170,0,80,266,52,32,151,0,80,254,51,29,129,0
Allen County Community College,1360,523,657,NA,NA,NA,1250,548,758,NA,NA,NA,1065,499,815,NA,NA,NA,567,390,1425,NA,NA,NA,1077,509,1042,NA,NA,NA,1114,560,1178,NA,NA,NA,1058,719,1175,NA,NA,NA
Allen School-Brooklyn,NA,NA,149,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,349,NA,NA,NA,NA,NA,373,NA,NA,NA,0,0,476,NA,NA,NA,0,0,742,NA,NA,NA,0,0,652,NA,NA,NA
Allen School-Jamaica,NA,NA,126,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,289,NA,NA,NA,NA,NA,354,NA,NA,NA,0,0,322,NA,NA,NA,0,0,486,NA,NA,NA,0,0,623,NA,NA,NA
Allen School-Phoenix,NA,NA,41,NA,NA,NA,0,0,31,NA,NA,NA,389,0,94,NA,NA,NA,614,0,72,NA,NA,NA,889,0,73,NA,NA,NA,690,0,133,NA,NA,NA,646,15,0,NA,NA,NA
Allen University,0,121,577,NA,NA,45,NA,NA,590,NA,NA,NA,NA,NA,600,NA,NA,NA,NA,NA,625,NA,NA,NA,NA,NA,660,NA,NA,NA,NA,NA,651,NA,NA,NA,NA,NA,672,NA,NA,NA
Allgood Beauty Institute,NA,NA,8,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alliance Computing Solutions,NA,NA,3,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,7,NA,NA,NA,0,0,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alliant International University-San Diego,267,2,719,891,224,1677,248,0,946,560,130,1896,205,12,1254,328,144,2060,103,57,784,181,329,2055,33,43,899,153,222,2607,81,23,813,191,169,2924,8,61,120,89,209,3002
Allied Health Careers Institute,NA,NA,82,NA,NA,NA,NA,NA,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allstate Hairstyling & Barber College,NA,NA,46,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,40,NA,NA,NA,0,0,34,NA,NA,NA,0,0,35,NA,NA,NA,0,0,39,NA,NA,NA
Alma College,NA,NA,1433,NA,NA,NA,NA,NA,1426,NA,NA,NA,NA,NA,1451,NA,NA,NA,0,0,1385,NA,NA,NA,0,0,1396,NA,NA,NA,NA,NA,1419,NA,NA,NA,NA,NA,1461,NA,NA,NA
Alpena Community College,102,254,1073,NA,NA,NA,120,255,1236,NA,NA,NA,67,213,1256,NA,NA,NA,62,197,1234,NA,NA,NA,71,229,1336,NA,NA,NA,86,262,1364,NA,NA,NA,80,257,1626,NA,NA,NA
Altierus Career College Everett,NA,NA,NA,NA,NA,NA,0,228,0,NA,NA,NA,0,1,253,NA,NA,NA,0,0,278,NA,NA,NA,0,10,400,NA,NA,NA,0,21,430,NA,NA,NA,0,31,505,NA,NA,NA
Altierus Career College-Arlington,NA,NA,NA,NA,NA,NA,0,199,11,NA,NA,NA,0,21,269,NA,NA,NA,1,28,361,NA,NA,NA,2,34,469,NA,NA,NA,1,35,607,NA,NA,NA,0,64,591,NA,NA,NA
Altierus Career College-Atlanta West,NA,NA,NA,NA,NA,NA,NA,NA,324,NA,NA,NA,NA,NA,356,NA,NA,NA,NA,NA,467,NA,NA,NA,0,0,628,NA,NA,NA,0,0,634,NA,NA,NA,0,0,681,NA,NA,NA
Altierus Career College-Austin,NA,NA,NA,NA,NA,NA,NA,NA,161,NA,NA,NA,NA,NA,225,NA,NA,NA,NA,NA,371,NA,NA,NA,0,0,719,NA,NA,NA,0,0,880,NA,NA,NA,0,0,1063,NA,NA,NA
Altierus Career College-Bissonnet,NA,NA,383,NA,NA,NA,NA,NA,310,NA,NA,NA,NA,NA,486,NA,NA,NA,NA,NA,590,NA,NA,NA,0,0,785,NA,NA,NA,0,0,934,NA,NA,NA,0,0,908,NA,NA,NA
Altierus Career College-Chesapeake,NA,NA,NA,NA,NA,NA,0,8,167,NA,NA,NA,0,12,213,NA,NA,NA,0,32,289,NA,NA,NA,0,38,633,NA,NA,NA,0,31,809,NA,NA,NA,0,31,694,NA,NA,NA
Altierus Career College-Colorado Springs,NA,NA,NA,NA,NA,NA,0,3,84,NA,NA,NA,0,20,103,NA,NA,NA,0,37,172,NA,NA,NA,3,72,255,NA,NA,NA,10,97,282,NA,NA,NA,11,101,323,NA,NA,NA
Altierus Career College-Columbus,NA,NA,NA,NA,NA,NA,NA,NA,140,NA,NA,NA,NA,NA,138,NA,NA,NA,NA,NA,228,NA,NA,NA,0,0,405,NA,NA,NA,0,0,462,NA,NA,NA,0,0,496,NA,NA,NA
Altierus Career College-Fort Worth South,NA,NA,NA,NA,NA,NA,0,3,188,NA,NA,NA,0,20,235,NA,NA,NA,0,34,403,NA,NA,NA,0,25,491,NA,NA,NA,0,32,503,NA,NA,NA,0,33,482,NA,NA,NA
Altierus Career College-Houston Hobby,NA,NA,NA,NA,NA,NA,0,255,0,NA,NA,NA,NA,NA,373,NA,NA,NA,NA,NA,464,NA,NA,NA,0,0,586,NA,NA,NA,0,0,557,NA,NA,NA,0,0,646,NA,NA,NA
Altierus Career College-Norcross,0,0,434,NA,NA,NA,0,279,0,NA,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,279,NA,NA,NA,NA,NA,548,NA,NA,NA,NA,NA,527,NA,NA,NA,NA,NA,494,NA,NA,NA
Altierus Career College-Orange Park,NA,NA,NA,NA,NA,NA,0,50,215,NA,NA,NA,0,85,269,NA,NA,NA,3,99,266,NA,NA,NA,9,168,381,NA,NA,NA,15,205,491,NA,NA,NA,27,254,477,NA,NA,NA
Altierus Career College-San Antonio,NA,NA,NA,NA,NA,NA,0,0,134,NA,NA,NA,NA,NA,195,NA,NA,NA,NA,NA,273,NA,NA,NA,0,0,464,NA,NA,NA,0,0,493,NA,NA,NA,0,0,612,NA,NA,NA
Altierus Career College-Tacoma,NA,NA,NA,NA,NA,NA,NA,NA,270,NA,NA,NA,NA,NA,383,NA,NA,NA,NA,NA,439,NA,NA,NA,NA,NA,795,NA,NA,NA,NA,NA,859,NA,NA,NA,NA,NA,1001,NA,NA,NA
Altierus Career College-Tampa,0,0,222,NA,NA,NA,976,24,188,16,2,1,994,75,260,22,15,9,5,79,275,1,12,3,3,127,388,0,14,5,9,192,537,0,25,7,19,309,513,1,28,3
Altierus Career College-Thornton,0,0,7,NA,NA,NA,0,46,79,NA,NA,NA,0,24,118,NA,NA,NA,0,45,187,NA,NA,NA,10,93,239,NA,NA,NA,13,98,260,NA,NA,NA,6,106,295,NA,NA,NA
Altierus Career College-Tigard,NA,NA,NA,NA,NA,NA,0,0,165,NA,NA,NA,NA,NA,226,NA,NA,NA,NA,NA,255,NA,NA,NA,0,0,333,NA,NA,NA,0,0,314,NA,NA,NA,0,0,332,NA,NA,NA
Altierus Career College-Woodbridge,NA,NA,NA,NA,NA,NA,NA,NA,224,NA,NA,NA,NA,NA,255,NA,NA,NA,NA,NA,342,NA,NA,NA,0,0,551,NA,NA,NA,0,0,570,NA,NA,NA,0,0,163,NA,NA,NA
Altierus Career Education-South Plainfield,NA,NA,NA,NA,NA,NA,0,207,0,NA,NA,NA,NA,NA,276,NA,NA,NA,NA,NA,374,NA,NA,NA,0,0,615,NA,NA,NA,0,0,697,NA,NA,NA,0,0,724,NA,NA,NA
Altierus Career Education-Southfield,NA,NA,NA,NA,NA,NA,NA,NA,487,NA,NA,NA,NA,NA,577,NA,NA,NA,NA,NA,555,NA,NA,NA,0,0,875,NA,NA,NA,0,0,1003,NA,NA,NA,0,0,853,NA,NA,NA
Altoona Beauty School Inc,NA,NA,40,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,51,NA,NA,NA,0,0,60,NA,NA,NA,0,0,68,NA,NA,NA,0,0,143,NA,NA,NA
Alvernia University,237,294,1665,127,74,395,217,390,1644,133,76,378,151,453,1719,117,54,378,197,126,2035,93,28,377,76,116,2250,77,45,353,11,65,2295,57,57,386,11,85,2251,38,40,466
Alverno College,10,99,1110,3,22,607,7,42,1263,0,8,622,NA,NA,1413,NA,NA,604,NA,NA,1558,NA,NA,651,NA,NA,1723,NA,NA,666,NA,NA,1862,NA,NA,674,NA,NA,1932,NA,NA,590
Alvin Community College,294,773,4506,NA,NA,NA,398,850,4537,NA,NA,NA,447,1013,4217,NA,NA,NA,378,968,3768,NA,NA,NA,333,775,3729,NA,NA,NA,209,1178,3731,NA,NA,NA,269,957,3883,NA,NA,NA
Amarillo College,2526,2436,4892,NA,NA,NA,2008,2679,5572,NA,NA,NA,2453,2265,5477,NA,NA,NA,1293,2194,6449,NA,NA,NA,1216,2968,6152,NA,NA,NA,1262,2939,6672,NA,NA,NA,1227,3122,7181,NA,NA,NA
Amberton University,153,16,20,566,157,270,184,23,10,622,167,251,180,34,1,655,157,300,179,34,18,704,142,302,169,45,31,697,144,295,175,49,37,670,146,326,202,42,25,628,154,327
Ambiance Beauty & Barber Academy Inc,NA,NA,26,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,43,NA,NA,NA,0,0,39,NA,NA,NA,0,0,24,NA,NA,NA,0,0,34,NA,NA,NA
Ambria College of Nursing,0,18,216,NA,NA,NA,1,31,285,NA,NA,NA,3,39,324,NA,NA,NA,3,35,414,NA,NA,NA,1,14,417,NA,NA,NA,NA,NA,344,NA,NA,NA,NA,NA,397,NA,NA,NA
America Evangelical University,0,17,19,0,21,28,1,0,13,1,0,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Academy McAllister Institute of Funeral Service,334,62,44,NA,NA,NA,364,63,53,NA,NA,NA,377,52,58,NA,NA,NA,361,43,89,NA,NA,NA,323,45,56,NA,NA,NA,335,0,73,NA,NA,NA,301,0,110,NA,NA,NA
American Academy of Acupuncture and Oriental Medicine,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,88,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,75
American Academy of Art,NA,NA,242,NA,NA,NA,NA,NA,260,NA,NA,NA,NA,NA,297,NA,NA,NA,NA,NA,317,NA,NA,NA,NA,NA,365,NA,NA,NA,NA,NA,406,NA,NA,NA,NA,NA,432,NA,NA,NA
American Academy of Cosmetology,NA,NA,90,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,19,NA,NA,NA,0,0,117,NA,NA,NA,0,0,120,NA,NA,NA,0,0,100,NA,NA,NA
American Academy of Dramatic Arts-Los Angeles,NA,NA,263,NA,NA,NA,NA,NA,280,NA,NA,NA,NA,NA,303,NA,NA,NA,NA,NA,295,NA,NA,NA,NA,NA,280,NA,NA,NA,NA,NA,258,NA,NA,NA,NA,NA,222,NA,NA,NA
American Academy of Dramatic Arts-New York,NA,NA,270,NA,NA,NA,NA,NA,269,NA,NA,NA,NA,NA,310,NA,NA,NA,NA,NA,261,NA,NA,NA,NA,NA,253,NA,NA,NA,NA,NA,216,NA,NA,NA,NA,NA,221,NA,NA,NA
American Advanced Technicians Institute,NA,NA,66,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,20,NA,NA,NA,0,0,124,NA,NA,NA,0,0,97,NA,NA,NA,0,0,161,NA,NA,NA
American Baptist College,NA,NA,123,NA,NA,NA,42,0,73,NA,NA,NA,1,54,84,NA,NA,NA,5,58,94,NA,NA,NA,0,0,157,NA,NA,NA,NA,NA,141,NA,NA,3,NA,NA,118,NA,NA,9
American Baptist Seminary of the West,NA,NA,NA,3,0,48,NA,NA,NA,1,1,50,NA,NA,NA,5,14,37,NA,NA,NA,0,13,60,NA,NA,NA,1,10,42,NA,NA,NA,0,8,41,NA,NA,NA,1,9,50
American Barber Academy,NA,NA,44,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Beauty Academy,NA,NA,32,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,26,NA,NA,NA,0,NA,37,NA,NA,NA,NA,NA,32,NA,NA,NA,0,0,50,NA,NA,NA
American Beauty Academy-West Valley Campus,NA,NA,19,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Beauty College,NA,NA,129,NA,NA,NA,NA,NA,118,NA,NA,NA,NA,NA,126,NA,NA,NA,NA,NA,79,NA,NA,NA,0,0,97,NA,NA,NA,0,0,45,NA,NA,NA,0,0,44,NA,NA,NA
American Beauty School,NA,NA,151,NA,NA,NA,NA,NA,167,NA,NA,NA,NA,NA,168,NA,NA,NA,NA,NA,185,NA,NA,NA,0,0,201,NA,NA,NA,0,0,194,NA,NA,NA,NA,NA,208,NA,NA,NA
American Beauty Schools,NA,NA,31,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Business and Technology University,369,NA,NA,35,NA,NA,867,NA,NA,23,NA,NA,313,NA,NA,15,NA,NA,290,NA,NA,9,NA,NA,573,NA,NA,7,NA,NA,1822,NA,NA,NA,NA,NA,186,NA,NA,NA,NA,NA
American Career College-Anaheim,NA,NA,1027,NA,NA,NA,NA,NA,948,NA,NA,NA,NA,NA,1067,NA,NA,NA,NA,NA,1383,NA,NA,NA,NA,NA,1415,NA,NA,NA,NA,NA,1565,NA,NA,NA,NA,NA,1748,NA,NA,NA
American Career College-Long Beach,NA,NA,NA,NA,NA,NA,NA,NA,381,NA,NA,NA,NA,NA,479,NA,NA,NA,NA,NA,471,NA,NA,NA,0,0,516,NA,NA,NA,0,0,401,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Career College-Los Angeles,NA,NA,1284,NA,NA,NA,NA,NA,1237,NA,NA,NA,NA,NA,1315,NA,NA,NA,NA,NA,1543,NA,NA,NA,NA,NA,1613,NA,NA,NA,NA,NA,1770,NA,NA,NA,NA,NA,1743,NA,NA,NA
American Career College-Lynwood,NA,NA,NA,NA,NA,NA,NA,NA,314,NA,NA,NA,NA,NA,321,NA,NA,NA,NA,NA,315,NA,NA,NA,0,0,202,NA,NA,NA,0,0,47,NA,NA,NA,0,0,57,NA,NA,NA
American Career College-Ontario,NA,NA,1280,NA,NA,NA,NA,NA,1275,NA,NA,NA,NA,NA,1425,NA,NA,NA,NA,NA,1521,NA,NA,NA,NA,NA,1483,NA,NA,NA,NA,NA,1634,NA,NA,NA,NA,NA,1574,NA,NA,NA
American College for Medical Careers,0,126,100,NA,NA,NA,72,306,103,NA,NA,NA,0,183,352,NA,NA,NA,117,391,0,NA,NA,NA,0,88,290,NA,NA,NA,0,47,222,NA,NA,NA,19,150,0,NA,NA,NA
American College of Acupuncture and Oriental Med,NA,NA,NA,3,24,91,NA,NA,NA,4,47,69,NA,NA,NA,10,1,123,NA,NA,NA,11,2,125,NA,NA,NA,0,4,132,NA,NA,NA,NA,NA,130,NA,NA,NA,NA,NA,122
American College of Barbering,NA,NA,69,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American College of Education,43,NA,NA,5460,NA,NA,9,NA,NA,4807,NA,NA,NA,NA,NA,3844,NA,NA,NA,NA,NA,3023,NA,NA,NA,NA,NA,2589,NA,NA,NA,NA,NA,3021,NA,NA,NA,NA,NA,3423,NA,NA
